Street#,Dir,Street,Type_,Post Dir,Loc,Zip,Council,Neighborhood,Referred,Down & Clear
831,S,32nd,St,,Entire,,,,,1/26/2006
1529,S,32nd,St,,Entire,,,,,1/30/2006
819,S ,33rd,St,,Entire,,,,,1/31/2006
323,N,34th,St,,Entire,,,,,2/6/2006
1711,,Prentice,St,,Entire,,,,,2/6/2006
713,S,34th,ST,,Entire,,,,,2/24/2006
813,S,34th,St,,Entire,,,,,2/24/2006
827,S,34th,St,,Entire,,,,,2/24/2006
309,N,35th,St,,Entire,,,,,2/24/2006
9403,,New Maple,Rd,,Entire,,,,,2/24/2006
671,S,36th,St,,Entire,,,,,2/27/2006
826,S,37th,St,,Entire,,,,,2/27/2006
1826,,Northwestern,Pkwy,,Entire,,,,,2/27/2006
614,S,38th,St,,Entire,,,,,3/1/2006
637,S,39th,St,,Entire,,,,,3/9/2006
639,S,39th,St,,Entire,,,,,3/14/2006
7724,,3rd Street,Rd,,Entire,,,,,3/14/2006
1039,S,40th,St,,Entire,,,,,3/27/2006
1457,,Mellwood,Ave,,Entire,,,,,3/28/2006
1207,S,41st,St,,Entire,,,,,3/30/2006
311,N,44th,St,,Entire,,,,,3/30/2006
1616,W,Oak,St,,Entire,,,,,3/30/2006
3017,,River Park,Dr,,Rear,,,,,3/30/2006
1432,S,9th,St,,Entire,,,,,4/4/2006
2108,,Owen,St,,Entire,,,,,4/4/2006
1460,S,9th,St,,Entire,,,,,4/21/2006
1102,,Mulberry,St,,Entire,,,,,5/3/2006
1448,S,9th ,St,,Entire,,,,,5/8/2006
2728,,Alford,Ave,,Entire,,,,,5/11/2006
1242,,Algonquin,Pkwy,,Entire,,,,,5/19/2006
500,,Amy,Ave,,Entire,,,,,6/5/2006
1511,,Anderson,St,,Entire,,,,,6/19/2006
1516,,Anderson,St,,Entire,,,,,6/22/2006
6603,,Applegate,Ln,,Entire,,,,,6/22/2006
1820,,Baird,St,,Entire,,,,,6/22/2006
1912,,Baird,St,,Entire,,,,,6/22/2006
1721,,Prentice,St,,Entire,,,,,6/22/2006
1633,,Bank,St,,Entire,,,,,6/27/2006
1908,,Bank,St,,Entire,,,,,6/30/2006
2563,,Bank,St,,Entire,,,,,7/10/2006
2916,,Bank,St,,Entire,,,,,7/10/2006
1801-03,,Bank,St,,Entire,,,,,7/17/2006
5001,,Monticello ,Ave,,Entire,,,,,7/17/2006
1429,,Beech,St,,Entire,,,,,7/18/2006
1442,,Beech,St,,Entire,,,,,7/18/2006
1836,,Berry,Blvd,,Entire,,,,,7/18/2006
1620,,Berry ,Blvd,,Garage,,,,,7/18/2006
2646,,Olive ,St,,Entire,,,,,7/18/2006
2510,,Blevins Gap,Rd,,Entire,,,,,7/26/2006
1733,,Bolling,Ave,,Entire,,,,,7/27/2006
2210,,Bolling,Ave,,Entire,,,,,7/31/2006
120,,Boston,Ct,,Entire,,,,,8/3/2006
463,E,Brandeis,Ave,,Entire,,,,,8/3/2006
917,,Brentwood,Ave,,Entire,,,,,8/3/2006
5607,,Brinson,Dr,,Entire,,,,,8/4/2006
9409,,New Maple,Rd,,Entire,,,,,8/4/2006
4011,W,Broadway,,,Rear,,,,,8/17/2006
4017,W,Broadway,,,Entire,,,,,8/17/2006
4142,W,Broadway,,,Entire,,,,,8/23/2006
3434,W,Market,St,,Entire,,,,,8/30/2006
10001,,Brownsboro,Rd,,Entire,,,,,9/11/2006
9313,,New Maple ,Rd,,Entire,,,,,9/15/2006
1814,W,Burnett,Ave,,Entire,,,,,10/27/2006
2327,W,Burnett,Ave,,Entire,,,,,10/27/2006
1709,,Prentice,St,,Entire,,,,,10/27/2006
4311,,Camp Ground,Rd,,Entire,,,,,11/10/2006
4619,,Cane Run,Rd,,Entire,,,,,11/10/2006
2433,,Montgomery,St,,Entire,,,,,11/10/2006
4646,,Cane Run,Rd,,Entire,,,,,11/14/2006
6700,,Capella,Ln,,Entire,,,,,11/27/2006
12602,,Castle ,Rd,,Entire,,,,,11/28/2006
1111,,Cecil,Ave,,Entire,,,,,11/29/2006
2239,,Cedar,St,,Entire,,,,,11/30/2006
2705,,Cedar,St,,Entire,,,,,12/4/2006
1948,W,Chestnut,St,,Entire,,,,,12/21/2006
2343,W,Chestnut,St,,Entire,,,,,1/3/2007
2831,W,Chestnut,St,,Entire,,,,,1/8/2007
1227,S,Clay,St,,Entire,,,,,1/10/2007
5607,,Clearridge,Pl,,Entire,,,,,1/10/2007
2508,,Columbia,St,,Entire,,,,,1/11/2007
3803,,Powell,Ave,,Entire,,,,,1/11/2007
2532,,Columbia,St,,Entire,,,,,1/18/2007
2730,,Congress,St,,Entire,,,,,1/18/2007
5103,,Constance,Dr,,Entire,,,,,1/30/2007
